timestamp,tweet_text,user_influence
2025-07-13 10:00:00,"$BTC to the moon! 🚀🚀",0.9
2025-07-13 10:01:00,"$AAPL looks bearish today. Market falling?",0.6
2025-07-13 10:02:00,"Huge upside in $ETH expected! Bullish news out!",0.85
2025-07-13 10:03:00,"$TSLA under investigation again... bearish!",0.7
2025-07-13 10:04:00,"Nifty 50 is consolidating before the next move",0.5
2025-07-13 10:05:00,"S&P 500 looks strong this week. Fed positive?",0.65
2025-07-13 10:06:00,"Ethereum and Bitcoin both rallying! $ETH $BTC",0.8
2025-07-13 10:07:00,"Apple ($AAPL) launches new iPhone. Bullish!",0.7
2025-07-13 10:08:00,"Tesla ($TSLA) stock split rumors. To the moon?",0.6
2025-07-13 10:09:00,"Bearish on $BTC after CPI data. Fed hawkish.",0.7
2025-07-13 10:10:00,"$ETH and $BTC both see high volume. Bullish.",0.9
2025-07-13 10:11:00,"Nifty 50 and S&P 500 diverging. Interesting!",0.5
2025-07-13 10:12:00,"$AAPL and $TSLA both in correction phase.",0.6
2025-07-13 10:13:00,"$BTC, $ETH, and $DOGE trending on Twitter!",0.8
2025-07-13 10:14:00,"Apple earnings beat expectations. $AAPL up!",0.7
2025-07-13 10:15:00,"Tesla misses delivery targets. $TSLA down.",0.6
2025-07-13 10:16:00,"Ethereum merge hype! $ETH $BTC",0.85
2025-07-13 10:17:00,"Nifty 50 at all-time high. Bullish India!",0.5
2025-07-13 10:18:00,"S&P 500 and Nifty 50 both green today.",0.65
2025-07-13 10:19:00,"$DOGE meme rally incoming?",0.7
